text_per_tr	words_per_tr	onsets_per_tr	durations_per_tr
to dinner and not having 	['to', 'dinner', 'and', 'not', 'having']	[46.128, 46.288, 46.598, 47.088, 47.392]	[0.138, 0.278, 0.388, 0.266, 0.25]
sex. 	['sex.']	[47.696]	[0.714]
Sounds like a date to 	['Sounds', 'like', 'a', 'date', 'to']	[49.47, 49.872, 50.048, 50.144, 50.352]	[0.364, 0.154, 0.09, 0.17, 0.154]
me. 	['me.']	[50.528]	[0.572]
	[]	[]	[]
All right, so I'm back in 	"['All', 'right,', 'so', ""I'm"", 'back', 'in']"	[53.87, 54.208, 54.368, 54.528, 54.688, 54.848]	[0.316, 0.138, 0.138, 0.138, 0.138, 0.15]
high school. I'm standing in the middle of the 	"['high', 'school.', ""I'm"", 'standing', 'in', 'the', 'middle', 'of', 'the']"	[55.024, 55.188, 55.348, 55.514, 55.754, 55.844, 55.924, 56.004, 56.084]	[0.142, 0.138, 0.15, 0.224, 0.084, 0.074, 0.074, 0.074, 0.122]
cafeteria and I realize I 	['cafeteria', 'and', 'I', 'realize', 'I']	[56.228, 56.938, 57.108, 57.332, 57.786]	[0.678, 0.148, 0.186, 0.39, 0.18]
am totally 	['am', 'totally']	[57.988, 58.276]	[0.234, 0.794]
naked. 	['naked.']	[59.57]	[0.94]
	[]	[]	[]
Then I look down 	['Then', 'I', 'look', 'down']	[62.69, 63.156, 63.412, 63.652]	[0.412, 0.218, 0.202, 0.25]
and I realize there is a 	['and', 'I', 'realize', 'there', 'is', 'a']	[63.956, 64.148, 64.308, 64.682, 64.868, 65.092]	[0.17, 0.138, 0.326, 0.164, 0.186, 0.154]
phone 	['phone']	[65.268]	[0.572]
there. 	['there.']	[67.59]	[0.75]
	[]	[]	[]
	[]	[]	[]
Instead of that's right? 	"['Instead', 'of', ""that's"", 'right?']"	[71.35, 71.816, 72.136, 72.398]	[0.412, 0.266, 0.23, 0.582]
	[]	[]	[]
All of a sudden, 	['All', 'of', 'a', 'sudden,']	[75.03, 75.368, 75.528, 75.688]	[0.316, 0.138, 0.138, 0.294]
the phone 	['the', 'phone']	[76.046, 76.312]	[0.228, 0.588]
starts to ring. 	['starts', 'to', 'ring.']	[77.43, 77.998, 78.232]	[0.536, 0.196, 0.698]
Now I 	['Now', 'I']	[79.75, 80.152]	[0.364, 0.166]
don't know what to do. Everybody 	"[""don't"", 'know', 'what', 'to', 'do.', 'Everybody']"	[80.344, 80.508, 80.604, 80.748, 80.972, 81.276]	[0.142, 0.09, 0.122, 0.186, 0.25, 0.362]
starts looking at me. They weren't 	"['starts', 'looking', 'at', 'me.', 'They', ""weren't""]"	[81.724, 82.098, 82.396, 82.588, 82.94, 83.148]	[0.342, 0.244, 0.17, 0.282, 0.186, 0.198]
looking at you before? 	['looking', 'at', 'you', 'before?']	[83.378, 83.612, 83.724, 83.932]	[0.196, 0.106, 0.17, 0.588]
	[]	[]	[]
Finally, I figure I'd 	"['Finally,', 'I', 'figure', ""I'd""]"	[86.49, 87.084, 87.308, 87.66]	[0.508, 0.202, 0.282, 0.198]
better answer it. 	['better', 'answer', 'it.']	[87.874, 88.22, 88.556]	[0.276, 0.282, 0.604]
And it 	['And', 'it']	[90.41, 90.748]	[0.316, 0.138]
turns out it's my 	"['turns', 'out', ""it's"", 'my']"	[90.908, 91.218, 91.388, 91.698]	[0.278, 0.148, 0.278, 0.196]
mother. 	['mother.']	[91.932]	[0.698]
Which is very, very 	['Which', 'is', 'very,', 'very']	[93.87, 94.336, 94.656, 94.976]	[0.412, 0.266, 0.266, 0.266]
weird because 	['weird', 'because']	[95.296, 95.686]	[0.326, 0.614]
she never 	['she', 'never']	[96.99, 97.392]	[0.364, 0.25]
calls. 	['calls.']	[97.696]	[0.714]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
Hi. 	['Hi.']	[103.63]	[0.75]
	[]	[]	[]
This guy 	['This', 'guy']	[108.13, 108.468]	[0.316, 0.234]
says, Hello, I want to kill 	['says,', 'Hello,', 'I', 'want', 'to', 'kill']	[108.756, 109.012, 109.316, 109.444, 109.524, 109.668]	[0.218, 0.25, 0.122, 0.074, 0.122, 0.186]
myself. 	['myself.']	[109.892]	[0.588]
You okay, 	['You', 'okay,']	[111.81, 112.276]	[0.412, 0.266]
sweetie? I just feel 	['sweetie?', 'I', 'just', 'feel']	[112.596, 113.97, 114.308, 114.468]	[0.794, 0.316, 0.138, 0.138]
like someone reached down my throat 	['like', 'someone', 'reached', 'down', 'my', 'throat']	[114.628, 114.788, 115.076, 115.498, 115.668, 115.828]	[0.138, 0.234, 0.39, 0.148, 0.138, 0.278]
grabbed my small 	['grabbed', 'my', 'small']	[116.138, 116.474, 116.628]	[0.32, 0.132, 0.33]
intestine pulled it out of my mouth and 	['intestine', 'pulled', 'it', 'out', 'of', 'my', 'mouth', 'and']	[117.044, 117.866, 118.158, 118.264, 118.408, 118.504, 118.648, 118.942]	[0.738, 0.26, 0.1, 0.122, 0.09, 0.122, 0.246, 0.212]
tied it around my neck. 	['tied', 'it', 'around', 'my', 'neck.']	[119.192, 119.502, 119.688, 119.912, 120.152]	[0.262, 0.164, 0.186, 0.202, 0.262]
Cookie? 	['Cookie?']	[120.462]	[0.868]
	[]	[]	[]
Carol moved her stuff out 	['Carol', 'moved', 'her', 'stuff', 'out']	[123.67, 124.238, 124.478, 124.584, 124.792]	[0.536, 0.208, 0.1, 0.17, 0.154]
today. Let 	['today.', 'Let']	[124.968, 126.23]	[0.572, 0.316]
me get you some. 	['me', 'get', 'you', 'some.']	[126.568, 126.728, 126.824, 126.904]	[0.138, 0.09, 0.074, 0.556]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
No, 	['No,']	[133.43]	[0.472]
no, don't. Stop 	"['no,', ""don't."", 'Stop']"	[133.976, 134.188, 134.626]	[0.19, 0.374, 0.324]
cleansing my aura. 	['cleansing', 'my', 'aura.']	[135.02, 135.682, 135.932]	[0.614, 0.212, 0.858]
Don't. Just 	"[""Don't."", 'Just']"	[137.77, 138.178]	[0.376, 0.196]
leave my aura alone, 	['leave', 'my', 'aura', 'alone,']	[138.412, 138.652, 138.892, 139.282]	[0.202, 0.202, 0.342, 0.448]
okay? Fine. Be 	['okay?', 'Fine.', 'Be']	[139.81, 140.54, 141.084]	[0.58, 0.458, 0.25]
murky. 	['murky.']	[141.372]	[0.858]
I'll be fine, all right? 	"[""I'll"", 'be', 'fine,', 'all', 'right?']"	[142.97, 143.378, 143.676, 144.06, 144.268]	[0.376, 0.244, 0.314, 0.186, 0.198]
Really, everyone. I hope she'll be 	"['Really,', 'everyone.', 'I', 'hope', ""she'll"", 'be']"	[144.508, 144.816, 145.2, 145.344, 145.488, 145.718]	[0.254, 0.314, 0.138, 0.122, 0.198, 0.148]
very happy. No, you don't. No, I 	"['very', 'happy.', 'No,', 'you', ""don't."", 'No,', 'I']"	[145.888, 146.112, 146.544, 146.768, 146.928, 147.222, 147.408]	[0.186, 0.346, 0.202, 0.138, 0.246, 0.164, 0.09]
don't. To hell with her. She left 	"[""don't."", 'To', 'hell', 'with', 'her.', 'She', 'left']"	[147.504, 147.718, 147.888, 148.112, 148.288, 148.512, 148.752]	[0.182, 0.148, 0.186, 0.154, 0.186, 0.202, 0.202]
me. 	['me.']	[148.992]	[0.588]
And you never knew she was 	['And', 'you', 'never', 'knew', 'she', 'was']	[150.75, 151.088, 151.248, 151.472, 151.648, 151.808]	[0.316, 0.138, 0.186, 0.154, 0.138, 0.138]
a lesbian? 	['a', 'lesbian?']	[151.968, 152.064]	[0.09, 0.826]
	[]	[]	[]
	[]	[]	[]
No. 	['No.']	[156.93]	[0.7]
Okay? 	['Okay?']	[157.78]	[0.7]
Why does everyone keep 	['Why', 'does', 'everyone', 'keep']	[159.25, 159.588, 159.876, 160.388]	[0.316, 0.234, 0.41, 0.314]
fixating on that? 	['fixating', 'on', 'that?']	[160.756, 161.386, 161.652]	[0.566, 0.228, 0.588]
	[]	[]	[]
She didn't know. How should I 	"['She', ""didn't"", 'know.', 'How', 'should', 'I']"	[163.49, 163.956, 164.218, 164.644, 164.868, 165.092]	[0.412, 0.23, 0.34, 0.202, 0.186, 0.202]
know? 	['know?']	[165.332]	[0.588]
	[]	[]	[]
Sometimes I wish I was a 	['Sometimes', 'I', 'wish', 'I', 'was', 'a']	[168.23, 168.824, 169.048, 169.278, 169.384, 169.528]	[0.508, 0.202, 0.198, 0.1, 0.122, 0.138]
lesbian. 	['lesbian.']	[169.688]	[0.762]
	[]	[]	[]
Did I say that out 	['Did', 'I', 'say', 'that', 'out']	[172.71, 173.112, 173.288, 173.448, 173.608]	[0.364, 0.154, 0.138, 0.138, 0.186]
loud? 	['loud?']	[173.832]	[0.618]
	[]	[]	[]
I told mom and dad 	['I', 'told', 'mom', 'and', 'dad']	[177.35, 177.752, 177.992, 178.232, 178.408]	[0.364, 0.202, 0.202, 0.154, 0.246]
last night. They they seemed to take 	['last', 'night.', 'They', 'they', 'seemed', 'to', 'take']	[178.702, 178.952, 179.256, 179.448, 179.736, 179.998, 180.104]	[0.212, 0.25, 0.17, 0.234, 0.23, 0.1, 0.17]
it pretty well. Oh, 	['it', 'pretty', 'well.', 'Oh,']	[180.312, 180.488, 180.776, 181.224]	[0.154, 0.234, 0.362, 0.262]
really? So that hysterical 	['really?', 'So', 'that', 'hysterical']	[181.528, 182.22, 182.572, 182.748]	[0.542, 0.314, 0.154, 0.486]
phone call I got from a woman 	['phone', 'call', 'I', 'got', 'from', 'a', 'woman']	[183.282, 183.468, 183.692, 183.804, 183.948, 184.108, 184.204]	[0.164, 0.186, 0.106, 0.122, 0.138, 0.09, 0.278]
sobbing at 03:00 a.m. I'll never 	"['sobbing', 'at', '03:00', 'a.m.', ""I'll"", 'never']"	[184.546, 184.978, 185.148, 185.372, 185.772, 185.954]	[0.4, 0.148, 0.186, 0.362, 0.166, 0.18]
have grandchildren, I'll never have 	"['have', 'grandchildren,', ""I'll"", 'never', 'have']"	[186.172, 186.412, 186.978, 187.218, 187.388]	[0.202, 0.534, 0.208, 0.148, 0.186]
grandchildren was what? 	['grandchildren', 'was', 'what?']	[187.612, 188.434, 188.732]	[0.726, 0.26, 0.298]
A wrong number? 	['A', 'wrong', 'number?']	[189.1, 189.308, 189.532]	[0.186, 0.186, 0.588]
Sorry. 	['Sorry.']	[191.37]	[0.748]
All right, ross, 	['All', 'right,', 'ross,']	[192.284, 192.604, 192.832]	[0.294, 0.19, 0.438]
look. You're feeling a lot 	"['look.', ""You're"", 'feeling', 'a', 'lot']"	[193.35, 194.208, 194.598, 194.918, 195.024]	[0.676, 0.358, 0.288, 0.1, 0.074]
of pain right now. 	['of', 'pain', 'right', 'now.']	[195.104, 195.248, 195.6, 195.808]	[0.122, 0.282, 0.186, 0.474]
You're angry. You're 	"[""You're"", 'angry.', ""You're""]"	[196.416, 196.838, 197.686]	[0.39, 0.704, 0.32]
hurting. Can I tell 	['hurting.', 'Can', 'I', 'tell']	[198.038, 198.998, 199.328, 199.488]	[0.768, 0.308, 0.138, 0.09]
you what the answer is? 	['you', 'what', 'the', 'answer', 'is?']	[199.584, 199.728, 199.888, 199.984, 200.256]	[0.122, 0.138, 0.09, 0.218, 0.604]
Strip 	['Strip']	[201.63]	[0.504]
joint. 	['joint.']	[202.182]	[0.708]
Come on, 	['Come', 'on,']	[204.99, 205.392]	[0.364, 0.202]
you're single. Have some 	"[""you're"", 'single.', 'Have', 'some']"	[205.632, 205.958, 206.384, 206.672]	[0.294, 0.34, 0.25, 0.202]
hormones. 	['hormones.']	[206.912]	[1.098]
But I don't want to 	"['But', 'I', ""don't"", 'want', 'to']"	[208.85, 209.252, 209.364, 209.578, 209.876]	[0.364, 0.106, 0.182, 0.244, 0.17]
be single, okay? 	['be', 'single,', 'okay?']	[210.068, 210.292, 210.788]	[0.186, 0.394, 0.652]
I just want to be 	['I', 'just', 'want', 'to', 'be']	[211.89, 212.164, 212.308, 212.468, 212.564]	[0.268, 0.122, 0.138, 0.09, 0.122]
married again. 	['married', 'again.']	[212.708, 213.146]	[0.374, 0.614]
	[]	[]	[]
	[]	[]	[]
And 	['And']	[218.47]	[0.412]
I just want a million 	['I', 'just', 'want', 'a', 'million']	[218.936, 219.32, 219.592, 219.768, 219.928]	[0.314, 0.234, 0.154, 0.138, 0.282]
dollars. 	['dollars.']	[220.28]	[0.62]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
Rachel? Oh, 	['Rachel?', 'Oh,']	[226.15, 227.358]	[1.016, 0.356]
God, Monica. Hi. Thank 	['God,', 'Monica.', 'Hi.', 'Thank']	[227.752, 228.056, 228.622, 229.064]	[0.25, 0.518, 0.356, 0.346]
God. I just went to 	['God.', 'I', 'just', 'went', 'to']	[229.48, 230.2, 230.488, 230.648, 230.808]	[0.57, 0.266, 0.138, 0.138, 0.09]
your building and you weren't there. And then 	"['your', 'building', 'and', 'you', ""weren't"", 'there.', 'And', 'then']"	[230.904, 231.048, 231.336, 231.464, 231.608, 231.838, 232.072, 232.184]	[0.122, 0.234, 0.122, 0.122, 0.198, 0.196, 0.106, 0.086]
this guy with a big hammer said that 	['this', 'guy', 'with', 'a', 'big', 'hammer', 'said', 'that']	[232.28, 232.492, 232.732, 232.908, 233.004, 233.148, 233.538, 233.772]	[0.174, 0.202, 0.154, 0.09, 0.122, 0.358, 0.196, 0.106]
you might be here. And you are. You 	['you', 'might', 'be', 'here.', 'And', 'you', 'are.', 'You']	[233.884, 234.028, 234.188, 234.348, 234.572, 234.684, 234.892, 235.196]	[0.122, 0.138, 0.138, 0.186, 0.106, 0.17, 0.25, 0.218]
are. Can I get you 	['are.', 'Can', 'I', 'get', 'you']	[235.452, 236.012, 236.332, 236.444, 236.652]	[0.442, 0.282, 0.106, 0.17, 0.154]
some coffee? 	['some', 'coffee?']	[236.828, 237.052]	[0.186, 0.614]
Decaf. 	['Decaf.']	[237.778]	[1.012]
Hey, everybody. 	['Hey,', 'everybody.']	[240.33, 240.796]	[0.412, 0.458]
This is Rachel. And 	['This', 'is', 'Rachel.', 'And']	[241.372, 241.564, 241.772, 242.242]	[0.186, 0.17, 0.422, 0.416]
another Lincoln high 	['another', 'Lincoln', 'high']	[242.764, 243.136, 243.462]	[0.318, 0.278, 0.212]
survivor. This is everybody. This is 	['survivor.', 'This', 'is', 'everybody.', 'This', 'is']	[243.712, 244.534, 244.704, 244.848, 245.136, 245.328]	[0.726, 0.164, 0.122, 0.234, 0.17, 0.09]
Chandler and Phoebe and 	['Chandler', 'and', 'Phoebe', 'and']	[245.424, 246.006, 246.208, 246.774]	[0.518, 0.18, 0.47, 0.356]
Joey. And you remember 	['Joey.', 'And', 'you', 'remember']	[247.2, 247.894, 248.256, 248.448]	[0.598, 0.308, 0.17, 0.234]
my brother, Ross. 	['my', 'brother,', 'Ross.']	[248.736, 248.928, 249.158]	[0.17, 0.198, 0.48]
Sure. 	['Sure.']	[249.734]	[0.646]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
So you want to tell us now, 	['So', 'you', 'want', 'to', 'tell', 'us', 'now,']	[260.53, 260.996, 261.124, 261.268, 261.364, 261.508, 261.732]	[0.412, 0.122, 0.122, 0.09, 0.122, 0.186, 0.25]
or are we waiting for four wet 	['or', 'are', 'we', 'waiting', 'for', 'four', 'wet']	[262.036, 262.356, 262.612, 262.788, 262.954, 263.108, 263.332]	[0.266, 0.218, 0.154, 0.15, 0.132, 0.186, 0.214]
bridesmaids? 	['bridesmaids?']	[263.578]	[1.092]
	[]	[]	[]
Oh, God. Well, 	['Oh,', 'God.', 'Well,']	[266.37, 266.772, 267.396]	[0.364, 0.49, 0.778]
it started about a 	['it', 'started', 'about', 'a']	[268.372, 268.836, 269.22, 269.428]	[0.41, 0.314, 0.186, 0.09]
half hour before the wedding. 	['half', 'hour', 'before', 'the', 'wedding.']	[269.524, 269.748, 269.992, 270.232, 270.344]	[0.182, 0.206, 0.202, 0.106, 0.822]
I was in this room where we 	['I', 'was', 'in', 'this', 'room', 'where', 'we']	[271.358, 271.688, 271.848, 271.944, 272.152, 272.392, 272.504]	[0.308, 0.138, 0.09, 0.17, 0.202, 0.106, 0.122]
were keeping all the presents. 	['were', 'keeping', 'all', 'the', 'presents.']	[272.648, 272.808, 273.054, 273.208, 273.368]	[0.138, 0.23, 0.132, 0.138, 0.694]
And I was looking at this 	['And', 'I', 'was', 'looking', 'at', 'this']	[274.206, 274.552, 274.664, 274.808, 275.032, 275.208]	[0.308, 0.106, 0.122, 0.186, 0.154, 0.186]
gravy boat this 	['gravy', 'boat', 'this']	[275.432, 275.758, 276.654]	[0.294, 0.72, 0.436]
really gorgeous, 	['really', 'gorgeous,']	[277.16, 277.88]	[0.57, 0.694]
lamoge gravy 	['lamoge', 'gravy']	[278.622, 279.262]	[0.592, 0.304]
boat. When all of a sudden I 	['boat.', 'When', 'all', 'of', 'a', 'sudden', 'I']	[279.598, 280.302, 280.568, 280.664, 280.808, 280.904, 281.198]	[0.576, 0.244, 0.09, 0.122, 0.09, 0.262, 0.196]
realized sweet. And 	['realized', 'sweet.', 'And']	[281.432, 281.998, 282.35]	[0.454, 0.332, 0.57]
realized 	['realized']	[283.45]	[1.1]
I 	['I']	[285.69]	[0.316]
realized that I was more turned on 	['realized', 'that', 'I', 'was', 'more', 'turned', 'on']	[286.028, 286.322, 286.508, 286.604, 286.748, 287.036, 287.314]	[0.246, 0.164, 0.09, 0.122, 0.234, 0.262, 0.132]
by this gravy bolt than by 	['by', 'this', 'gravy', 'bolt', 'than', 'by']	[287.468, 287.628, 287.788, 288.114, 288.354, 288.508]	[0.138, 0.138, 0.31, 0.224, 0.132, 0.138]
Barry. And then I got 	['Barry.', 'And', 'then', 'I', 'got']	[288.668, 289.634, 290.012, 290.124, 290.268]	[0.79, 0.34, 0.106, 0.122, 0.186]
really freaked out. And that's 	"['really', 'freaked', 'out.', 'And', ""that's""]"	[290.492, 290.668, 291.058, 291.484, 291.708]	[0.154, 0.358, 0.34, 0.202, 0.23]
when it hit me how much Barry 	['when', 'it', 'hit', 'me', 'how', 'much', 'Barry']	[291.954, 292.108, 292.268, 292.492, 292.876, 293.088, 293.248]	[0.132, 0.138, 0.186, 0.31, 0.19, 0.138, 0.278]
looks like. 	['looks', 'like.']	[293.558, 293.728]	[0.148, 0.572]
	[]	[]	[]
I always know he looked 	['I', 'always', 'know', 'he', 'looked']	[296.67, 296.944, 297.152, 297.328, 297.488]	[0.268, 0.17, 0.154, 0.138, 0.138]
familiar. But 	['familiar.', 'But']	[297.648, 298.31]	[0.582, 0.63]
	[]	[]	[]
	[]	[]	[]
anyway, I 	['anyway,', 'I']	[302.11, 303.47]	[0.75, 0.316]
just had to get out of there and I started 	['just', 'had', 'to', 'get', 'out', 'of', 'there', 'and', 'I', 'started']	[303.808, 304.032, 304.144, 304.288, 304.448, 304.544, 304.624, 304.832, 304.944, 305.088]	[0.186, 0.106, 0.122, 0.138, 0.09, 0.074, 0.17, 0.106, 0.122, 0.186]
wondering why am I doing 	['wondering', 'why', 'am', 'I', 'doing']	[305.312, 305.846, 306.176, 306.368, 306.528]	[0.47, 0.276, 0.17, 0.138, 0.186]
this? And who am I doing this 	['this?', 'And', 'who', 'am', 'I', 'doing', 'this']	[306.752, 306.992, 307.168, 307.328, 307.552, 307.664, 307.872]	[0.202, 0.154, 0.138, 0.186, 0.106, 0.17, 0.25]
for? So 	['for?', 'So']	[308.176, 309.47]	[0.604, 0.412]
anyway, I just didn't know where to 	"['anyway,', 'I', 'just', ""didn't"", 'know', 'where', 'to']"	[309.936, 310.32, 310.528, 310.688, 310.87, 311.028, 311.188]	[0.314, 0.186, 0.138, 0.162, 0.136, 0.138, 0.09]
go. And I know that you and I have kind of 	['go.', 'And', 'I', 'know', 'that', 'you', 'and', 'I', 'have', 'kind', 'of']	[311.284, 311.492, 311.668, 311.764, 311.908, 312.068, 312.228, 312.388, 312.484, 312.628, 312.788]	[0.17, 0.154, 0.09, 0.122, 0.138, 0.138, 0.138, 0.09, 0.122, 0.138, 0.09]
drifted apart but 	['drifted', 'apart', 'but']	[312.884, 313.322, 313.786]	[0.39, 0.4, 0.516]
you're the only person I knew 	"[""you're"", 'the', 'only', 'person', 'I', 'knew']"	[314.436, 314.794, 314.948, 315.172, 315.412, 315.588]	[0.342, 0.132, 0.186, 0.202, 0.154, 0.138]
who lived here in the city 	['who', 'lived', 'here', 'in', 'the', 'city']	[315.748, 315.908, 316.138, 316.308, 316.468, 316.628]	[0.138, 0.198, 0.148, 0.138, 0.138, 0.522]
who wasn't invited to the 	"['who', ""wasn't"", 'invited', 'to', 'the']"	[317.3, 317.668, 317.998, 318.318, 318.488]	[0.326, 0.298, 0.288, 0.148, 0.09]
wedding. Oh, I was kind of hoping 	['wedding.', 'Oh,', 'I', 'was', 'kind', 'of', 'hoping']	[318.584, 319.198, 319.512, 319.624, 319.768, 319.864, 320.008]	[0.502, 0.276, 0.106, 0.122, 0.09, 0.122, 0.23]
that wouldn't be an issue. 	"['that', ""wouldn't"", 'be', 'an', 'issue.']"	[320.254, 320.408, 320.574, 320.728, 320.888]	[0.132, 0.15, 0.132, 0.138, 0.572]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
Criminalisala De Marcela Singing all 	['Criminalisala', 'De', 'Marcela', 'Singing', 'all']	[331.83, 336.99, 337.148, 337.714, 338.082]	[5.14, 0.136, 0.55, 0.32, 0.116]
right, I'm guessing that he bought her 	"['right,', ""I'm"", 'guessing', 'that', 'he', 'bought', 'her']"	[338.204, 338.412, 338.658, 338.978, 339.148, 339.308, 339.538]	[0.17, 0.214, 0.288, 0.148, 0.138, 0.198, 0.148]
the big pipe organ and 	['the', 'big', 'pipe', 'organ', 'and']	[339.708, 339.804, 339.948, 340.258, 340.62]	[0.09, 0.122, 0.278, 0.292, 0.282]
she's really not happy about it. 	"[""she's"", 'really', 'not', 'happy', 'about', 'it.']"	[340.956, 341.298, 341.468, 341.628, 341.916, 342.108]	[0.31, 0.148, 0.138, 0.234, 0.17, 0.572]
	[]	[]	[]
Tuna. Egg 	['Tuna.', 'Egg']	[344.57, 345.138]	[0.536, 0.208]
salad, desa. 	['salad,', 'desa.']	[345.378, 346.162]	[0.656, 0.868]
	[]	[]	[]
I'll have 	"[""I'll"", 'have']"	[348.75, 349.286]	[0.472, 0.324]
whatever Christine is having. 	['whatever', 'Christine', 'is', 'having.']	[349.68, 350.272, 350.758, 350.992]	[0.474, 0.454, 0.196, 0.588]
	[]	[]	[]
Daddy, I 	['Daddy,', 'I']	[353.55, 354.038]	[0.456, 0.148]
just I can't 	"['just', 'I', ""can't""]"	[354.208, 355.25, 355.588]	[0.572, 0.316, 0.198]
marry him. 	['marry', 'him.']	[355.818, 356.202]	[0.336, 0.598]
I'm sorry. 	"[""I'm"", 'sorry.']"	[357.33, 357.866]	[0.472, 0.614]
I just don't love 	"['I', 'just', ""don't"", 'love']"	[359.09, 359.492, 359.732, 360.042]	[0.364, 0.202, 0.262, 0.26]
him. 	['him.']	[360.356]	[0.604]
Well, it matters 	['Well,', 'it', 'matters']	[362.45, 362.852, 363.028]	[0.364, 0.154, 0.358]
to me. 	['to', 'me.']	[363.418, 363.588]	[0.148, 0.572]
	[]	[]	[]
	[]	[]	[]
If I let 	['If', 'I', 'let']	[368.23, 368.824, 369.112]	[0.508, 0.25, 0.202]
go of my hair, my hip 	['go', 'of', 'my', 'hair,', 'my', 'hip']	[369.352, 369.592, 369.768, 369.992, 370.382, 370.696]	[0.202, 0.154, 0.186, 0.342, 0.26, 0.278]
will fall off. 	['will', 'fall', 'off.']	[371.022, 371.272, 371.576]	[0.212, 0.25, 0.604]
	[]	[]	[]
She 	['She']	[374.79]	[0.412]
should not be wearing those 	['should', 'not', 'be', 'wearing', 'those']	[375.256, 375.64, 375.976, 376.232, 376.478]	[0.314, 0.282, 0.218, 0.214, 0.196]
pants. 	['pants.']	[376.712]	[0.778]
I'd say push her down the 	"[""I'd"", 'say', 'push', 'her', 'down', 'the']"	[378.15, 378.638, 378.872, 379.198, 379.368, 379.528]	[0.456, 0.196, 0.294, 0.148, 0.138, 0.138]
stairs. Push her 	['stairs.', 'Push', 'her']	[379.688, 380.478, 380.798]	[0.678, 0.288, 0.1]
down. 	['down.']	[380.904]	[0.556]
Push. 	['Push.']	[382.23]	[0.78]
	[]	[]	[]
	[]	[]	[]
